Eleccion,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017
,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct
Denominacion,ELECTORES,VOTANTES,ALIANZA FRENTE PARA LA VICTORIA,ELECTORES,CAMBIEMOS,VOTANTES,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,VOTOS BLANCOS,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,VOTOS BLANCOS,ELECTORES,VOTANTES,ALIANZA FRENTE PARA LA VICTORIA,ELECTORES,CAMBIEMOS,VOTANTES,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,VOTOS BLANCOS,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,VOTOS BLANCOS,ELECTORES,VOTANTES,UNIDAD CIUDADANA,ELECTORES,CAMBIEMOS,VOTANTES,CAMBIEMOS,1PAIS,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,VOTOS BLANCOS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,VOTOS BLANCOS,ELECTORES,VOTANTES,UNIDAD CIUDADANA,ELECTORES,CAMBIEMOS,VOTANTES,CAMBIEMOS,1PAIS,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,VOTOS BLANCOS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,VOTOS BLANCOS,ELECTORES,VOTANTES,UNIDAD CIUDADANA,CAMBIEMOS,ELECTORES,VOTANTES,CAMBIEMOS,1PAIS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTOS BLANCOS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,VOTOS BLANCOS,ELECTORES,VOTANTES,UNIDAD CIUDADANA,CAMBIEMOS,ELECTORES,VOTANTES,CAMBIEMOS,1PAIS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTOS BLANCOS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,VOTOS BLANCOS
PROV_REF_ID,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1,1
dpto_merger_str,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adolfo alsina,13189.0,10543.0,2688.0,,4957.0,,1156.0,,1291.0,,128.0,,,,1.0,0.799378269770263,0.20380620213814543,,0.3758435059519296,,0.08764879824095838,,0.09788460080370005,,0.009705057244673592,,,,13985.0,10253.0,2111.0,,5164.0,,,1208.0,719.0,,123.0,756.0,,,1.0,0.733142652842331,0.1509474436896675,,0.36925277082588487,,,0.08637826242402574,0.05141222738648552,,0.008795137647479443,0.054057919199141935,,,14314.0,11047.0,2279.0,6049.0,,,,1135.0,225.0,616.0,,661.0,,,1.0,0.7717619114153975,0.15921475478552466,0.4225932653346374,,,,0.07929299986027666,0.01571887662428392,0.04303479111359508,,0.04617856643845186,,
adolfo gonzales chaves,10420.0,8846.0,3347.0,,2279.0,,1035.0,,1694.0,,138.0,,,,1.0,0.8489443378119002,0.32120921305182343,,0.21871401151631478,,0.09932821497120921,,0.16257197696737044,,0.013243761996161228,,,,10473.0,7164.0,2084.0,,2427.0,,,1136.0,210.0,,112.0,1448.0,,,1.0,0.6840446863362933,0.1989878735796811,,0.23173875680320824,,,0.10846939749832904,0.02005156115726153,,0.010694165950539482,0.13826028836054616,,,10473.0,8109.0,2512.0,3201.0,,,,856.0,207.0,237.0,,1245.0,,,1.0,0.7742767115439703,0.23985486489067126,0.30564308221140074,,,,0.08173398262198033,0.019765110283586365,0.022629619020338013,,0.11887711257519336,,
alberti,8859.0,7308.0,2701.0,,3009.0,,732.0,,916.0,,99.0,,,,1.0,0.8249238062986793,0.30488768484027545,,0.33965458855401287,,0.0826278360988825,,0.10339767468111526,,0.011175076193701321,,,,9300.0,7413.0,968.0,,3032.0,,,586.0,1858.0,,75.0,544.0,,,1.0,0.7970967741935484,0.10408602150537634,,0.3260215053763441,,,0.06301075268817204,0.19978494623655915,,0.008064516129032258,0.05849462365591398,,,8937.0,7199.0,925.0,3491.0,,,,374.0,122.0,2033.0,,458.0,,,1.0,0.8055275819626273,0.10350229383462012,0.390623251650442,,,,0.04184849502070046,0.013651113348998545,0.22748125769273805,,0.051247622244601096,,
almirante brown,419609.0,320424.0,131299.0,,82618.0,,64659.0,,24019.0,,16612.0,,,,1.0,0.7636251843978561,0.3129079690855058,,0.1968928216506319,,0.154093453667581,,0.05724138424104345,,0.0395892366464971,,,,429241.0,307240.0,123858.0,,81987.0,,,47377.0,19275.0,,13582.0,13644.0,,,1.0,0.7157750541071333,0.288551186862392,,0.19100458716664998,,,0.1103738925219166,0.044904843665912623,,0.0316418981411375,0.03178633914281254,,,443099.0,336973.0,144792.0,107880.0,,,,34571.0,20320.0,19297.0,,9262.0,,,1.0,0.7604914477351562,0.32677121817020577,0.24346703558347005,,,,0.07802093888724641,0.0458588261314063,0.04355008700087339,,0.020902777934502223,,
avellaneda,289664.0,219028.0,81333.0,,70034.0,,38981.0,,11228.0,,11284.0,,,,1.0,0.7561450508174989,0.28078394277507734,,0.24177667918692003,,0.13457316062748564,,0.03876215201060539,,0.0389554794520548,,,,293788.0,212800.0,79350.0,,69837.0,,,30090.0,8667.0,,8593.0,6283.0,,,1.0,0.7243318311163152,0.2700927199204869,,0.23771222786499108,,,0.10242079322504663,0.029500864569008946,,0.029248982259316242,0.021386169618908872,,,300157.0,227494.0,90167.0,86959.0,,,,21089.0,13006.0,8367.0,,4367.0,,,1.0,0.7579166902654277,0.30039945761718034,0.28971171753449027,,,,0.07025989732040232,0.043330656956192926,0.02787541186778919,,0.01454905266243999,,
ayacucho,15595.0,13087.0,3688.0,,5291.0,,1114.0,,2263.0,,322.0,,,,1.0,0.8391792241102918,0.2364860532221866,,0.33927540878486695,,0.07143315165117024,,0.14511061237576145,,0.020647643475472908,,,,17082.0,11843.0,2829.0,,4944.0,,,1631.0,923.0,,450.0,1017.0,,,1.0,0.693302891933029,0.1656129258868985,,0.2894274675096593,,,0.09548062287788316,0.05403348554033485,,0.026343519494204427,0.059536354056902004,,,17404.0,13502.0,2919.0,6720.0,,,,1369.0,671.0,890.0,,1059.0,,,1.0,0.7757986669731096,0.16772006435302228,0.3861181337623535,,,,0.07866007814295564,0.03855435532061595,0.051137669501264076,,0.06084808090094231,,
